session_id,allowed_up,smooth,median_k,ma_k,duration_min,total_detected,valid,rejected,hrr60_count,hrr60_mean,hrr60_median,hrr60_std,hrr120_count
70,0.7,7/7,7,7,45.13333333333333,16,9,7,9,15.53968253968253,17.857142857142875,9.069841825424584,9
69,0.7,7/7,7,7,41.233333333333334,15,7,8,7,8.408163265306124,4.714285714285722,11.466373341979557,7
68,0.7,7/7,7,7,31.716666666666665,12,1,11,1,-9.0,-9.0,0.0,1
65,0.7,7/7,7,7,20.366666666666667,1,1,0,1,-9.285714285714292,-9.285714285714292,0.0,1
64,0.7,7/7,7,7,41.38333333333333,13,9,4,9,8.222222222222225,13.285714285714278,11.225600623015348,9
33,0.7,7/7,7,7,67.5,19,11,8,11,4.55844155844155,2.857142857142861,7.0976372627880195,11
70,1.0,3/3,3,3,45.13333333333333,16,9,7,9,14.666666666666673,19.0,9.72967967955095,9
69,1.0,3/3,3,3,41.233333333333334,16,7,9,7,9.571428571428573,7.333333333333329,10.713756600691763,7
68,1.0,3/3,3,3,31.716666666666665,12,0,12,0,,,,0
65,1.0,3/3,3,3,20.366666666666667,1,1,0,1,-10.0,-10.0,0.0,1
64,1.0,3/3,3,3,41.38333333333333,13,10,3,10,6.700000000000001,11.166666666666679,11.18376799950118,10
33,1.0,3/3,3,3,67.5,15,10,5,10,3.700000000000004,2.500000000000007,7.419868222849003,10
70,1.0,5/5,5,5,45.13333333333333,13,9,4,9,14.488888888888892,17.40000000000002,9.432384456923387,9
69,1.0,5/5,5,5,41.233333333333334,9,4,5,4,11.600000000000001,8.200000000000003,9.834632682515403,4
68,1.0,5/5,5,5,31.716666666666665,7,0,7,0,,,,0
65,1.0,5/5,5,5,20.366666666666667,1,1,0,1,-11.199999999999989,-11.199999999999989,0.0,1
64,1.0,5/5,5,5,41.38333333333333,11,10,1,10,6.7200000000000015,11.0,11.745705598217594,10
33,1.0,5/5,5,5,67.5,11,7,4,7,0.9714285714285792,0.8000000000000114,7.6265915033639855,7
70,1.0,7/7,7,7,45.13333333333333,12,9,3,9,13.333333333333337,17.142857142857153,9.14434511701344,9
69,1.0,7/7,7,7,41.233333333333334,6,3,3,3,12.285714285714292,10.571428571428584,9.641181512261916,3
68,1.0,7/7,7,7,31.716666666666665,6,1,5,1,-5.142857142857153,-5.142857142857153,0.0,1
65,1.0,7/7,7,7,20.366666666666667,1,1,0,1,-12.428571428571416,-12.428571428571416,0.0,1
64,1.0,7/7,7,7,41.38333333333333,9,8,1,8,8.607142857142863,12.714285714285715,11.036754458607469,8
33,1.0,7/7,7,7,67.5,5,4,1,4,1.2499999999999858,0.4999999999999929,10.18470992844326,4
